Måned,Gjennomsnitt Pris (øre/kWh),Område slicer
01-2023,126.78262365591395,NO1
01-2023,126.78262365591391,NO2
01-2023,69.74051209677427,NO3
01-2023,46.460528225806485,NO4
01-2023,128.95898118279572,NO5
02-2023,114.93692857142861,NO1
02-2023,115.01394345238094,NO2
02-2023,48.694477678571445,NO3
02-2023,31.580857142857138,NO4
02-2023,110.84766666666668,NO5
03-2023,112.71262314939428,NO1
03-2023,112.71400538358002,NO2
03-2023,64.21334454912522,NO3
03-2023,49.06522072678335,NO4
03-2023,113.11766487213985,NO5
04-2023,111.0127027777778,NO1
04-2023,111.01270277777803,NO2
04-2023,69.6996055555556,NO3
04-2023,40.402018055555565,NO4
04-2023,112.98489722222243,NO5
05-2023,78.53668145161294,NO1
05-2023,80.59037768817201,NO2
05-2023,31.784595430107544,NO3
05-2023,21.921204301075292,NO4
05-2023,78.91557258064509,NO5
06-2023,73.2851847222221,NO1
06-2023,96.49089722222223,NO2
06-2023,23.453812499999984,NO3
06-2023,21.701416666666653,NO4
06-2023,73.25308055555544,NO5
07-2023,36.72879973118277,NO1
07-2023,68.56166801075261,NO2
07-2023,28.528633064516143,NO3
07-2023,22.273829301075303,NO4
07-2023,37.150736559139844,NO5
08-2023,20.072978494623634,NO1
08-2023,72.9276370967741,NO2
08-2023,19.966557795698897,NO3
08-2023,19.018520161290322,NO4
08-2023,20.086641129032262,NO5
09-2023,1.1185263888888881,NO1
09-2023,57.489194444444486,NO2
09-2023,9.873469444444448,NO3
09-2023,9.851526388888896,NO4
09-2023,1.1081680555555546,NO5
10-2023,43.138696644295294,NO1
10-2023,50.56999463087252,NO2
10-2023,16.294200000000004,NO3
10-2023,16.124699328859066,NO4
10-2023,42.749699328859066,NO5
11-2023,104.69107083333341,NO1
11-2023,104.69108750000008,NO2
11-2023,65.33180694444444,NO3
11-2023,62.687830555555585,NO4
11-2023,104.70735277777786,NO5
12-2023,93.52428897849475,NO1
12-2023,90.86297446236561,NO2
12-2023,79.14479435483872,NO3
12-2023,68.96210349462366,NO4
12-2023,93.51438037634409,NO5
01-2024,91.90177284946233,NO1
01-2024,86.25145564516126,NO2
01-2024,64.4724879032258,NO3
01-2024,44.60059274193546,NO4
01-2024,90.36900940860212,NO5
02-2024,66.99917528735618,NO1
02-2024,66.52367097701148,NO2
02-2024,50.154576149425274,NO3
02-2024,41.46076724137933,NO4
02-2024,67.83119252873556,NO5
03-2024,67.66226917900413,NO1
03-2024,67.6640148048454,NO2
03-2024,61.17686002691785,NO3
03-2024,55.40523283983844,NO4
03-2024,68.834397039031,NO5
04-2024,60.1731777777777,NO1
04-2024,59.78529166666656,NO2
04-2024,58.151623611111106,NO3
04-2024,49.30379166666669,NO4
04-2024,63.89765277777774,NO5
05-2024,37.28713440860218,NO1
05-2024,48.153576612903215,NO2
05-2024,21.84971505376344,NO3
05-2024,21.842493279569904,NO4
05-2024,37.86446908602153,NO5
06-2024,38.31457222222219,NO1
06-2024,47.87867500000005,NO2
06-2024,26.45939444444447,NO3
06-2024,25.228772222222222,NO4
06-2024,39.00784999999997,NO5
07-2024,28.697348118279553,NO1
07-2024,40.70764650537632,NO2
07-2024,27.202547043010753,NO3
07-2024,27.33194086021505,NO4
07-2024,31.518587365591387,NO5
08-2024,12.850202956989252,NO1
08-2024,47.68997849462368,NO2
08-2024,12.720025537634417,NO3
08-2024,12.79936290322582,NO4
08-2024,13.380104838709661,NO5
09-2024,21.162673611111117,NO1
09-2024,45.031672222222184,NO2
09-2024,14.976469444444431,NO3
09-2024,14.934345833333314,NO4
09-2024,18.635819444444433,NO5
10-2024,39.88146577181203,NO1
10-2024,49.14429127516776,NO2
10-2024,15.63028322147651,NO3
10-2024,13.445083221476526,NO4
10-2024,39.948842953020126,NO5
11-2024,55.965802777777746,NO1
11-2024,64.78815138888886,NO2
11-2024,15.902127777777782,NO3
11-2024,9.240761111111105,NO4
11-2024,49.347940277777745,NO5
12-2024,63.45250806451609,NO1
12-2024,74.42131989247304,NO2
12-2024,22.67954166666664,NO3
12-2024,9.071873655913983,NO4
12-2024,49.64222715053766,NO5
01-2025,75.09749193548397,NO1
01-2025,77.7526787634408,NO2
01-2025,27.942366935483903,NO3
01-2025,10.903810483870979,NO4
01-2025,62.44113978494617,NO5
02-2025,97.84775925925928,NO1
02-2025,101.27398765432108,NO2
02-2025,34.48437654320986,NO3
02-2025,8.329998456790127,NO4
02-2025,85.3890648148148,NO5
